 	tnxk,txwk
𮴔	evtf·王亻𠤎十
𮴕	ejrd·王广大
𮴖	enok·王门口
𮴗	egww·王{尧上}兀
𮴘	erlz·王大辶
𮴙	eyzw·王走
𮴚	enay·王〢又土
𮴛	evto·王亻丁口
𮴜	ebtq·王白七
𮴝	ehqt·王勹田
𮴞	eptm·王尸毛
𮴟	euaa·王山亽龴
𮴠	ehnq·王一冂丶冂丶
𮴡	eeew·王王王
𮴢	edjh·王日丿廾
𮴣	eena·王爫冖又
𮴤	ezxe·王㇇水三
𮴥	euzw·王山己几
𮴦	eldd·王𠂉日夊
𮴧	eapg·王亽艮
𮴨	evou·王丷口心
𮴩	ebux·王自心
𮴪	ebrq·王自犬
𮴫	eaue·王八厶习习
𮴬	ekkd·王木木夕
𮴭	edjc·王日辰
𮴮	epzf·王尸示寸
𮴯	edgs·王日豕
𮴰	emuu·王宀心丿山
𮴱	ehhx·王艹勹米
𮴲	esmy·王其月
𮴳	etkm·王⻗木
𮴴	exnf·王⺌冖口手
𮴵	emog·王弓口虫
𮴶	ehno·王艹冖口口
𮴷	ewev·王糹隹
𮴸	ehxz·王艹{祭上}示
𮴹	ehnq·王艹门木{柬中}
𮴺	ejmw·王吂月女凡
𮴻	ebbg·瓜白
𮴼	fnkq·十冂䒑十一𠄌⺄丶
𮴽	qlvt·田𠃊
𮴾	qkwt·田未
𮴿	qsnt·田鸟
𮵀	qvtf·田亻𠤎十
𮵁	qvtf·田亻𠤎十
𮵂	qgew·田犭王
𮵃	qjzd·田{享上}子攵
𮵄	bazv·白亽㇇
𮵅	bqxv·目丶乂
𮵆	bfzv·目キ𠃌
𮵇	bkdr·目木日
𮵈	bnak·目冖八木
𮵉	thqv·石𠂊㇏
𮵊	tfzv·石キ𠃌
𮵋	tjhc·石丿廾
𮵌	tzlv·石子乚
𮵍	tbss·石舌
𮵎	tyyt·石土土
𮵏	thmr·石一冉
𮵐	twzs·石兆
𮵑	tjuv·石文凵
𮵒	eets·习习石
𮵓	tuts·石山石
𮵔	thnr·石⺈冂大
𮵕	thgj·石艹戈丿
𮵖	tjom·石丿口{禺下}
𮵗	tilp·石方𠂉也
𮵘	jvze·礻亻二
𮵙	jatb·礻人匕
𮵚	jayt·礻又土
𮵛	jrnd·礻贝刂
𮵜	jvfz·礻亻キ𠃌
𮵝	jhqt·礻艹田
𮵞	jmcz·礻宀至
𮵟	jikj·礻立朩斤
𮵠	kfzv·禾キ𠃌
𮵡	kdok·禾夕口
𮵢	kbuv·禾且厶
𮵣	krkh·䒑𡗗禾,yrkh·⺷大禾
𮵤	kslv·禾其𠃊
𮵥	iwyl·立尤
𮵦	idvv·立夂⺀
𮵧	iffc·立{寿上}寸
𮵨	ihgy·立一弋止
𮵩	irxx·立大㐅㐅㐅㐅
𮵪	ieeb·立习习白
𮵫	kmlz·⺮了
𮵬	kewz·⺮王
𮵭	kwxv·⺮⺇㐅
𮵮	ksnz·⺮鸟
𮵯	kdpv·⺮夕㔾
𮵰	kvll·⺮ソ{州中}{州中}
𮵱	kkvv·⺮未丷
𮵲	kedn·⺮爫女
𮵳	kneq·⺮冖王丶
𮵴	kkfa·⺮木十又
𮵵	krqt·⺮大田
𮵶	kmeq·⺮宀王丶
𮵷	kcef·⺮氵⺕キ
𮵸	kddd·⺮日日日
𮵹	kkdq·⺮禾女鬼
𮵺	pdxm·户攵米
𮵻	xkuy·米䒑业
𮵼	xqxm·米田米
𮵽	xidz·米立早
𮵾	cwws·臣殳糸
𮵿	waqv·纟又丶
𮶀	weqv·纟王丶
𮶁	wnnh·纟⺆⺆一
𮶂	wdff·纟夂丰
𮶃	wvik·纟亻丨夂朩
𮶄	wkkt·纟禾丬匕
𮶅	wmao·纟宀八人口
𮶆	whnq·纟勹{丿丿}丶勹{丿丿}丶
𮶇	nahc·冖八廾
𮶈	xeex·九习习
𮶉	eeyb·习习半
𮶊	eeuj·习习心丿
𮶋	eegc·习习虫
𮶌	lwee·⺧儿习习
𮶍	vfee·冫中习习
𮶎	djxe·日{享上}小习习
𮶏	shvb·耳勹冫
𮶐	sqye·耳由
𮶑	seqv·耳王丶
𮶒	syyt·耳土土
𮶓	sgww·耳{尧上}兀
𮶔	mfzv·月キ𠃌
𮶕	mxfs·月㐅十
𮶖	bdvz·自夊
𮶗	ntgz·舟干
𮶘	nhcv·舟一{至上}
𮶙	nnkq·舟〢{⺮半}皿
𮶚	nigd·舟{立上}戈日
𮶛	htqc·艹七
𮶜	hesc·艹三
𮶝	hqxv·艹丶乂
𮶞	hzvv·艹⺄{飞右}
𮶟	hkze·艹䒑二
𮶠	hfej·艹𠂇巾
𮶡	hofs·艹口十
𮶢	hjkm·艹广木
𮶣	hvaa·艹冫亽龴
𮶤	hchc·艹氵一{至上}
𮶥	hcph·艹氵户
𮶦	hedp·艹王攵
𮶧	hvwe·艹亻⺇一巾
𮶨	hnkh·艹门禾
𮶩	hgir·艹犭讠犬
𮶪	hihv·艹立勹冫
𮶫	hcgc·艹氵虫
𮶬	hzgj·艹钅戋
𮶭	hils·艹永生
𮶮	hjrp·艹衤皮
𮶯	hebx·艹王見
𮶰	hdmy·艹日月土
𮶱	hcjz·艹氵{享上}子
𮶲	hlsd·艹忄龷日
𮶳	hwev·艹纟隹
𮶴	heux·艹隹心
𮶵	hcmh·艹氵宀一日一
𮶶	hcks·艹氵䒑{兼下}
𮶷	hcha·艹氵艹一冂人人
𮶸	hesy·艹王廿口龶
𮶹	hcnq·艹氵门木{柬中}
𮶺	jbmh·虍目
𮶻	zvgc·⺄{飞右}虫
𮶼	gzsc·虫示
𮶽	giyc·虫永
𮶾	gyzz·虫耂子
𮶿	icna·亠𧘇冂人
𮷀	jeqv·衤王丶
𮷁	jorb·衤口贝
𮷂	jmcz·衤宀至
𮷃	jeea·衤习习田龷八
𮷄	enwx·爫冖见
𮷅	itxx·讠{东上}小
𮷆	iqty·讠田
𮷇	icxx·讠{乐上}小
𮷈	irto·讠大丁口
𮷉	idhn·讠日勹{丿丿}
𮷊	ijxq·讠丿米田
𮷋	hgxl·一{壴下}力
𮷌	rivb·贝亅
𮷍	rmtd·贝宀丁
𮷎	hcor·一{至上}口贝
𮷏	orhv·口贝勹冫
𮷐	ejor·⺕丿口口贝
𮷑	ymor·土{亦下}口贝
𮷒	gxrd·⻊小大
𮷓	rqxq·身丶力丶
𮷔	rkws·身未
𮷕	yrsb·半身
𮷖	twjj·车几
𮷗	trqv·车大丶
𮷘	tlqj·车气
𮷙	tsnj·车鸟
𮷚	kytj·丬士车
𮷛	tttj·车车车
𮷜	tkmn·车䒑⺝刂
𮷝	teuj·车爫臼
𮷞	hflz·一キ辶
𮷟	klzh·禾辶
𮷠	aylz·又土辶
𮷡	grlz·犭犬辶
𮷢	alzj·金辶
𮷣	hhwl·艹一兀辶
𮷤	fwlz·{段左}殳辶
𮷥	etlz·王页辶
𮷦	azil·龴乛亅页辶
𮷧	inal·{立上}冂八口辶
𮷨	jxpe·厂力阝
𮷩	mpey·月阝
𮷪	amhp·亼⺍一阝
𮷫	zqpe·子皿阝
𮷬	dupe·日业阝
𮷭	kdpe·禾日阝
𮷮	kbqz·木目甲二
𮷯	hxaj·⺈小金
𮷰	aokm·釒口木
𮷱	ajpd·釒衤刀
𮷲	aaay·釒人人龰
𮷳	vlwa·冫⺧儿金
𮷴	afqu·釒十罒一心
𮷵	zzjj·钅己
𮷶	zqxv·钅丶乂
𮷷	zffj·钅丰
𮷸	zhww·钅一兀
𮷹	zhcv·钅一{至上}
𮷺	zdpj·钅攵
𮷻	zwxv·钅⺇㐅
𮷼	zniv·钅⺆亠
𮷽	zazi·钅龴乛亅
𮷾	zhzv·钅艹乙
𮷿	zzsj·钅示
𮸀	ztza·钅{东上}𠃌八
𮸁	zvjt·钅亻丿七
𮸂	znfv·钅⺆キ
𮸃	ziyj·钅永
𮸄	zgfv·钅戈𠂇
𮸅	zccj·钅臣
𮸆	zjrd·钅广大
𮸇	zcht·钅氵一丁
𮸈	zntj·钅冖车
𮸉	zirb·钅工贝
𮸊	zknd·钅禾刂
𮸋	zakv·钅人{余下}
𮸌	zxfe·钅㐅𠂇巾
𮸍	zjmh·钅广⺍一
𮸎	znux·钅门心
𮸏	zuad·钅厶八夊
𮸐	zhif·钅艹方
𮸑	zkkm·钅木木
𮸒	zdjh·钅日丿廾
𮸓	zpvk·钅刀{丶丶}木
𮸔	zrdr·钅𡗗日
𮸕	zhoq·钅一口田
𮸖	znaq·钅〢又皿
𮸗	zduy·钅日业
𮸘	zjnw·钅{享上}冖几
𮸙	zrkh·钅𡗗禾
𮸚	zqru·钅囗大心
𮸛	zuhg·钅山一{壴下}
𮸜	zmhg·钅宀一{壴下}
𮸝	zhnq·钅艹冖王丶
𮸞	zsyt·钅其土
𮸟	zxne·钅⺌冖口巾
𮸠	zmhw·钅宀艹见
𮸡	zrrr·钅火火火
𮸢	zuhw·钅山一{壴下}几
𮸣	ztjc·钅⻗辰
𮸤	ehrd·镸一大
𮸥	nyok·门士口
𮸦	niok·门立口
𮸧	nkum·门䒑{艸左}月
𮸨	pymy·阝龶⺝
𮸩	pdls·阝日生
𮸪	pgro·阝犭大丁口
𮸫	twfy·⻗凡
𮸬	teqv·⻗王丶
𮸭	ymvf·龶⺝亻𠤎十
𮸮	sfwx·廿{革下}见
𮸯	jbfz·丿㠯キ𠃌
𮸰	hoqz·一口田キ𠃌
𮸱	idlz·立日𠂉乙
𮸲	idwy·立日尤
𮸳	idwv·立日殳
𮸴	twfy·页凡
𮸵	ulrt·山𠂉大页
𮸶	dity·日立页
𮸷	idty·立日页
𮸸	pnht·户冂卄页
𮸹	pety·户隹页
𮸺	yxtv·止{小}页干丷
𮸻	wxdn·⺇㐅日勹{丿丿}
𮸼	rrrx·火火火⺇㐅
𮸽	zvzv·⺄{飞右}⺄{飞右}⺄{飞右}
𮸾	apjw·亽{即左}文
𮸿	agss·饣豕
𮹀	kdma·禾日宀{亻}工八
𮹁	ehvb·馬勹冫
𮹂	szvv·马⺄{飞右}
𮹃	saay·马又又
𮹄	stuv·马七凵
𮹅	shkm·马一木
𮹆	sphc·马巳廾,szhc·马己廾
𮹇	sjhy·马丿廾土
𮹈	smfu·马宀𠂇厶
𮹉	symy·马龶⺝
𮹊	smmy·马月月
𮹋	snyo·马⺆土口
𮹌	sdqm·马日皿
𮹍	sbux·马自心
𮹎	sdqa·马日罒又,snza·马冂二罒又
𮹏	syhg·马{壳上}一{壴下}
𮹐	sddd·马日日日
𮹑	honn·一口冂䒑丨同
𮹒	qrdg·鬼大
𮹓	jqyw·文鱼
𮹔	sxs·{鸟上}水
𮹕	vgsn·亻弋鸟
𮹖	obsn·口且鸟
𮹗	uaas·山亽龴鸟
𮹘	rrns·火火冖鸟
𮹙	uesn·山隹鸟
𮹚	uasn·山金鸟
𮹛	cdjs·氵日{享上}小鸟
𮹜	soks·廿口丬匕灬鸟
𮹝	wwwl·龙龙龙
𰀀	hlv·一𠄌
𰀁	fvvv·キ
𰀂	evvv·ㅌ
𰀃	hnv·一冂
𰀄	evvv·ㅌ
𰀅	xhvw·丸一
𰀆	hkv·一䒑
𰀇	ssv·丂丂
𰀈	fav·キ龴
𰀉	fvvv·{叓上}
𰀊	esvj·巾丂
𰀋	tmvq·七{川丨}
𰀌	hoej·一口巾
𰀍	tryb·不牙
𰀎	lhlh·⺊一⺊一⺊一
𰀏	lhpg·⺊一艮
𰀐	hlwu·一⺧儿厶
𰀑	eufj·𡈼厶{于下}丿
𰀒	hnaa·一冂人一冂人
𰀓	hqzw·一甲二几
𰀔	hdwy·一日⺇土
𰀕	hnaa·一冂人一冂人
𰀖	hqgh·一囗戈口一
𰀗	lhlh·⺊一⺊一⺊一⺊一
𰀘	tmda·不宀女人
𰀙	hrph·一大户冂卄
𰀚	thyd·不一止攵
𰀛	hddy·一日日⺇土
𰀜	thyj·不一止心丿
𰀝	bbbq·且且且
𰀞	tqcf·⻗田ユ十
𰀟	tkoy·不木口攵一止
𰀠	kvvv·Ｋ
𰀡	nay·〢又
𰀢	nkv·〢{⺮半}
𰀣	urf·丩夫
𰀤	pew·{門左}王
𰀥	bazi·㠯龴乛亅
𰀦	bbv·㠯㠯
𰀧	unyo·丩⺆土口
𰀨	qwof·田糸口中
𰀩	iizz·主主
𰀪	nvvv·{丿丿}
𰀫	jzv·丿⺄
𰀬	zjla·𠄎丿𠃋人
𰀭	kktx·禾丬匕力
𰀮	jbkn·丿㠯木冂
𰀯	zjcp·𠄎丿氵丶艮
𰀰	zzzv·⺄⺄⺄
𰀱	nnv·巜巜
𰀲	tzvb·不乙
𰀳	zwy·⺄尤
𰀴	tzvm·毛乙
𰀵	julv·丿山𠃊
𰀶	xnzv·⺌冖乙
𰀷	uwlv·山几乚
𰀸	ppyy·也也
𰀹	kzvh·禾乙
𰀺	ilvy·永乚
𰀻	polv·刀口乚
𰀼	zuok·⺄厶口
𰀽	szvx·覀乙
𰀾	slvx·西𠃊
𰀿	vgzv·亻戈乙
𰁀	zkhc·⺄䒑廾
𰁁	yzvz·走乙
𰁂	bxzv·且力乙
𰁃	viaz·{亻}工八乙
𰁄	bazv·{具上}八乙
𰁅	okzv·口未乙
𰁆	lroz·𠂉大口乙
𰁇	xfxq·九{于下}{冫く}丶
𰁈	zzix·𠃍𠃌丨丶口乂
𰁉	dhyz·日一龰乙
𰁊	bnzv·貝刂乙
𰁋	zooo·⺄口口口
𰁌	ziil·⺄立立
𰁍	qzaz·甲二龴乛亅乙
𰁎	aczv·釒巨乙
𰁏	ziix·⺄{辣左}辛
𰁐	ldql·⺊日囗㐅{四点}𠃊
𰁑	ezjl·爫子丿車一乚
𰁒	mmll·了了
𰁓	fahi·キ龴⺈⺕亅
𰁔	hyhi·一止⺈⺕亅
𰁕	tzeq·七二
𰁖	zviv·二亻丨
𰁗	zpqv·二尸㇏
𰁘	hyhh·一土勹人一
𰁙	zeaa·二巾人人人人
𰁚	ovgg·亞亻戈
𰁛	hcda·一{至上}日罒又
𰁜	ivvv·{变上}
𰁝	immy·亡月月
𰁞	iqxs·亠罒氺,iqxv·亠罒{二丨二}
𰁟	icdo·亡氵夂口
𰁠	jnwx·{享上}冖几一{至上}力
𰁡	vjqv·亻丿乀
𰁢	vpsr·亻尸
𰁣	vmgr·亻弓
𰁤	hwar·一兀人
𰁥	vnay·亻冂又
𰁦	vdpr·亻攵
𰁧	vaar·亻人人
𰁨	vhpr·亻片
𰁩	avfs·人⺀十
𰁪	vaay·亻又又
𰁫	vftd·亻扌丁
𰁬	vnrd·亻冂大
𰁭	vezv·亻爫乙
𰁮	barb·白人
𰁯	aiyr·人永
𰁰	mnar·弓{丿丨}人
𰁱	vrps·亻大巳
𰁲	vfny·亻十冂丄
𰁳	vcjj·亻匚斤
𰁴	vyhf·亻土一{于下}
𰁵	vyzz·亻士子
𰁶	vgus·亻弋山
𰁷	vqzv·亻申乙
𰁸	vxex·亻⺌⺕
𰁹	vdzr·亻早
𰁺	alnx·人⺊冂㐅
𰁻	aoej·人口巾
𰁼	vhok·亻{向框}口
𰁽	anan·人{丿丨}人{丿丨}
𰁾	vhrb·亻⺈贝
𰁿	aqok·人囗口
𰂀	vjho·亻⺁一口
𰂁	vjnd·亻文刂
𰂂	vcig·亻氵工
𰂃	vefc·亻⺕寸
𰂄	vmah·亻弓人一
𰂅	aous·亼口山
𰂆	vlyy·亻乚土土
𰂇	vbbr·亻貝
𰂈	vicd·亻丨氵女
𰂉	vlnq·亻𠂉⺆亠丶
𰂊	vxfo·亻㐅𠂇口
𰂋	vndr·亻门日
𰂌	vpok·亻户口
𰂍	vuxa·亻厶小又
𰂎	vnmy·亻门月
𰂏	vfzr·亻十乛⺀大
𰂐	vrap·亻犬八刀
𰂑	aejq·亼巾丿乀丿乀
𰂒	vnku·亻冂䒑山
𰂓	vfkt·亻千丬匕
𰂔	viav·亻方人⺀
𰂕	ammy·人灬⺝,ammr·人灬⺼
𰂖	vmnt·亻弓{丿丨}下
𰂗	vhne·亻{带上}冖巾
𰂘	vryy·亻大羊
𰂙	annd·亼舟刂
𰂚	admy·亼日月
𰂛	vuyf·亻山土寸
𰂜	vgrb·亻{贵上}贝
𰂝	aytv·人止干丷
𰂞	vpha·亻户一冂人
𰂟	vmoh·亻了口又一,vsoh·亻丂口又一
𰂠	vwfc·亻糹寸
𰂡	vaay·亻又又又土
𰂢	vsux·亻覀心
𰂣	vsif·亻覀方
𰂤	kvfs·來⺀十
𰂥	vkjq·亻木丿皿
𰂦	vjux·亻虍心
𰂧	aoay·人口八人土
𰂨	vjbl·亻丿㠯辶
𰂩	vjbq·亻礻且
𰂪	vbdp·亻貝攵
𰂫	vxln·亻小牜勹{丿丿}
𰂬	vqdr·亻{鱼上}日
𰂭	vrdn·亻贝日勹{丿丿}
𰂮	vyxx·亻止⚏一{小}
𰂯	vkef·亻⺮⺕キ
𰂰	vkud·亻䒑业日
𰂱	vxnf·亻⺌冖口手
𰂲	vmnb·亻⺍冖見
𰂳	vnfl·亻冖車辶
𰂴	vaxp·亻八乂耳阝
𰂵	akru·人禾火心
𰂶	viqc·亻亠甲二𧘇
𰂷	vvrb·亻冫欠貝,vzrb·亻二欠貝
𰂸	vvqg·亻丷罒{豕下}
𰂹	vmsm·亻宀{冓上}八弓
𰂺	vcno·亻至刂士口
𰂻	vmrr·亻月龹贝
𰂼	vvow·亻丷口儿⺈口儿
𰂽	vmnn·亻弓{丿丨}田人{丿丨}
𰂾	vrtd·亻大丆日丆日
𰂿	kqol·來囗口廴
𰃀	vmjq·亻宀丿米田
𰃁	vjzm·亻{享上}子丸灬
𰃂	vygm·亻士{壴下}口灬
𰃃	sfxk·廿{革下}力人{余下}
𰃄	kvcn·來亻至刂
𰃅	vtkb·亻匕禾頁
𰃆	vlwr·亻⺧儿⺧儿贝
𰃇	veea·亻习习田龷八
𰃈	vmnx·亻弓{丿丨}丿皿丿{乑下}
𰃉	vdjb·亻日{享上}小頁
𰃊	wlhv·儿⺊一
𰃋	zjow·𠄎丿口儿
𰃌	xwxl·⺌兀力
𰃍	bxww·古⺌兀
𰃎	bidw·白丨日儿
𰃏	hwjh·一兀丿車一
𰃐	xwwm·⺌兀尤彡
𰃑	xwcq·⺌兀氵由
𰃒	xwhu·⺌兀勹{丿丿}心
𰃓	mbuw·宀且臼儿
𰃔	xwxw·⺌兀⺌冖口儿
𰃕	xwtl·⺌兀⻗日乚
𰃖	jqsj·丿乀井
𰃗	jqfm·丿乀十⺝
𰃘	jqxr·丿乀小大
𰃙	jhoq·⺁一口丿乀
𰃚	jqfj·丿乀車
𰃛	hgjq·一{壴下}丿乀
𰃜	jqsk·丿乀廿𠃊木
𰃝	khlq·䒑一ㄣ丶
𰃞	liab·𠂉亠八
𰃟	pabb·巴八
𰃠	auna·八厶冂人,aunq·八厶冂丿乀
𰃡	oxna·口力刂八
𰃢	ashd·八丂勹日
𰃣	iaao·亠八亼口
𰃤	vrcf·丷𡗗ユ十
𰃥	iasd·亠八覀女
𰃦	hvvv·{向框}
𰃧	ner·冂壬
𰃨	nvay·冂冫又
𰃩	nsdr·冂龷日
𰃪	nmhy·冂巛一止
𰃫	mfon·宀丰口冂,myon·宀龶口冂
𰃬	sejz·廿巾丿乀丿乀亽㇇
𰃭	nlaa·冂𠃋人冂𠃋人冂𠃋人
𰃮	mnm·⺍冖
𰃯	ntvv·冖干丷
𰃰	nqym·冖由
𰃱	nmqt·冖巛田
𰃲	nckk·冖氵木木
𰃳	nidr·冖立早夂工贝
𰃴	nidb·冖立早夂工貝
𰃵	vfsb·冫十
𰃶	vwxv·冫⺇㐅
𰃷	vapv·冫人㔾
𰃸	vphb·冫户
𰃹	vilb·冫立
𰃺	vrpb·冫皮
𰃻	vttf·冫{比左}匕十
𰃼	vrmg·冫大弓
𰃽	vhdr·冫勹日
𰃾	vqpg·冫丶艮
𰃿	vfzr·冫十乛⺀大
𰄀	vfil·冫扌立
𰄁	vurm·冫厶大彡
𰄂	vfgo·冫十戈口
𰄃	vjqz·冫厂甲二
𰄄	vkmn·冫䒑⺝刂
𰄅	vfnw·冫十冖糸
𰄆	vxnw·冫⺌冖口儿
𰄇	vaat·冫亽龴尸匕
𰄈	vtex·冫⻗⺕
𰄉	vfaf·冫中龴冂キ
𰄊	veeb·冫习习白
𰄋	vfkd·冫中木日
𰄌	vmsd·冫月龷日
𰄍	vyyl·冫土羊辶
𰄎	vhem·冫⺈⺕亅⺌⺝
𰄏	vqdr·冫魚日
𰄐	wanh·⺇亼冂卄
𰄑	jqmh·丿乀{雋下}一
𰄒	mhsh·{雋下}一丂一
𰄓	ihiv·丨一丨㇎一夂⺀
𰄔	uuuu·屮凵屮凵
𰄕	uufz·屮凵𠂇丨子
𰄖	ggih·犭虫丨一丨㇎一
𰄗	ihiu·丨一丨㇎一一业心
𰄘	uujs·屮凵文耳
𰄙	andb·八刂
𰄚	zhnd·𠃌㇀刂
𰄛	phqv·刀勹丶
𰄜	lndx·忄刂
𰄝	znnd·𠄎{丿丿}刂
𰄞	sndz·专刂
𰄟	tndb·不刂
𰄠	hcpd·一{至上}刀
𰄡	phnv·刀勹{丿丿}
𰄢	jpdw·文刀
𰄣	ktpd·丬匕刀
𰄤	phbd·刀包
𰄥	pqjw·刀丶文
𰄦	ipdl·立刀
𰄧	phdn·刀一夕刂
𰄨	rcin·大匸丨刂
𰄩	bndz·自刂
𰄪	xkpd·㐅朩刀
𰄫	phok·刀{向框}口
𰄬	rlnd·大辶刂
𰄭	hnqn·一冂丶冂丶刂
𰄮	pfxq·刀{于下}{冫く}丶
𰄯	kvnd·未丷刂
𰄰	elnd·𡈼廴刂
𰄱	apkh·八刀木一
𰄲	hexj·⺈⺕小丿
𰄳	ydhp·土日一刀
𰄴	rdlp·大日乚刀
𰄵	xknp·㐅朩刂刀
𰄶	purm·刀厶大彡
𰄷	pfbs·刀扌舌
𰄸	pbnd·刀貝刂
𰄹	bnpd·貝刂刀
𰄺	inen·{立上}冖巾刂
𰄻	flnd·車辶刂
𰄼	xknh·㐅朩刂日一
𰄽	xljp·米𠃊斤刀
𰄾	raan·夫人人人人刂
𰄿	yhgp·{壳上}一{壴下}刀
𰅀	pkkk·刀木木木
𰅁	pmfn·刀宀丰口刂
𰅂	pydn·尸耂日刂
𰅃	kdkp·木夕木八刀
𰅄	mxzn·宀{祭上}示刂
𰅅	sfxn·廿{革下}力一夕刂
𰅆	knnf·木冂刂十冂䒑十
𰅇	inbp·{立上}冂古攵刀
𰅈	hown·⺈口儿⺈口儿⺈口儿刂
𰅉	sxlj·井力
𰅊	dhxl·日一力
𰅋	ktxl·丬{比左}力
𰅌	xpgv·力{攺左}{民下}
𰅍	rvxl·夫丷力
𰅎	xxhl·力行
𰅏	xolp·力口⺊尸
𰅐	zxqm·子力皿
𰅑	sqxl·井田力
𰅒	gpxl·犭艮力
𰅓	pcwx·{即左}匸儿力
𰅔	juxl·虍心力
𰅕	hddx·卄日日力
𰅖	hdnx·一夕刂亠𧘇力
𰅗	xkhl·力禾勹丿牛
𰅘	bxmz·且力宀示
𰅙	ehjx·王廾丿車一力
𰅚	xoju·力口广亻隹心
𰅛	habb·勹八
𰅜	hnqc·勹{丿丿}囗コ
𰅝	hphq·⺈巴勹丶
𰅞	vrhb·亻犬包
𰅟	hsab·包龷八
𰅠	gghb·犭虫包
𰅡	fjtb·{于下}丿匕
𰅢	ttrq·{比左}匕欠
𰅣	bwkt·古儿丬匕
𰅤	ckh·匚禾
𰅥	cfzr·匚十乛⺀大
𰅦	cvdf·匚丷日十
𰅧	ckbm·匚木目
𰅨	cfjj·匚車斤
𰅩	cuab·匚臼人貝,cxab·匚⺽人貝
𰅪	cfay·匚十又
𰅫	cdpj·匚夕卩
𰅬	corp·匚口皮
𰅭	afsb·八十
𰅮	zjfs·𠄎丿十
𰅯	zzzf·⺄⺄⺄十
𰅰	fnyv·十冂丄
𰅱	xufs·㐅凵十
𰅲	slfs·廿𠃊十
𰅳	rvfs·大丷十
𰅴	fnrd·十冂大
𰅵	txuf·匕㐅凵十
𰅶	bpbg·古巴
𰅷	fmyz·十巛止
𰅸	fecs·十長
𰅹	fnya·十冂丄又又
𰅺	drfq·毌贝千
𰅻	vtfq·亻𠤎十甲
𰅼	ykmh·半木灬
𰅽	slqq·其𠃊丶廾丶
𰅾	inih·{立上}冖方丿廾
𰅿	yygm·半士{壴下}彡
𰆀	fnkf·十冂䒑十十冂䒑十
𰆁	jhhy·丿廾艹日大土
𰆂	fnkf·十冂䒑十十冂䒑十十冂䒑十
𰆃	lqrd·⺊囗大
𰆄	ldij·⺊日丨厂
𰆅	lqho·⺊囗一口
𰆆	lwze·⺊⺇二巾
𰆇	lnaa·⺊冂又⺊冂又
𰆈	lwar·⺊⺇八厶一大
𰆉	lnhs·⺊冂卄又耳
𰆊	pjjj·ㄗ
𰆋	ppjj·卩卩
𰆌	dpjr·日ㄗ
𰆍	lfpj·𠂉十卩
𰆎	mpqv·月卩丶
𰆏	bpjz·自ㄗ
𰆐	qzpj·甲二ㄗ
𰆑	ydpj·耂日ㄗ,ydqp·耂日丶ㄗ
𰆒	krpj·禾火ㄗ
𰆓	faaq·十人人人氺卩丶,raaq·大人人氺卩丶
𰆔	fcvq·韋{卬左}ソ卩丶
𰆕	jqxv·厂丶乂
𰆖	jhww·厂一兀
𰆗	jjwc·厂文
𰆘	jlsc·厂生
𰆙	jkvv·厂未丷
𰆚	jamh·厂亼⺍一
𰆛	jyqu·厂土丶七凵
𰆜	jlha·厂⺊一小又
𰆝	jdif·厂日方
𰆞	juxj·厂臼九
𰆟	jrmy·厂火⺝,jrmr·厂火⺼
𰆠	jyqp·厂土丶艮
𰆡	jyyr·厂土土欠
𰆢	jyyw·厂土土殳
𰆣	jyya·厂土土卩又
𰆤	jpzw·厂{㐆上}𠃌殳
𰆥	jidl·厂立日乚
𰆦	jwwp·厂幺幺十刀
𰆧	jwho·厂兆勹口
𰆨	jsak·厂龷八干䒑
𰆩	jfec·厂龵長
𰆪	jsnr·厂甘冂人人犬
𰆫	jyqq·厂土丶⺷皿
𰆬	jbxx·厂白小厂白小
𰆭	uwf·厶凡
𰆮	urhw·厶大一兀
𰆯	yuqz·土厶甲二
𰆰	ljay·𠂉丿又
𰆱	tayb·不又
𰆲	uhay·屮一又
𰆳	avtv·又亻𠤎,avtb·又亻匕
𰆴	ilay·亠卜又
𰆵	rfsj·及十
𰆶	apvy·又{門左}
𰆷	awnd·又尢刂
𰆸	baym·目又
𰆹	qayy·由又
𰆺	lkay·𠂉ㅑ又
𰆻	ayyt·又土土
𰆼	papa·卩又卩又
𰆽	aahu·又又勹厶
𰆾	rilj·及立
𰆿	aapa·人人尸又
𰇀	lnha·⺊冖一贝又
𰇁	aqum·又丶厶大彡
𰇂	esay·爫耳又
𰇃	aaaw·又又又兆
𰇄	ldda·𠂉日夊⺁又
𰇅	afee·又𠂇巾又𠂇巾
𰇆	aaaa·又又又冖且⺕冖又
𰇇	ozek·口二
𰇈	vozv·丷口𠃍
𰇉	mokg·弓口
𰇊	oszk·口专
𰇋	niok·⺆亠口
𰇌	jhok·丿廾口
𰇍	aaok·又又口
𰇎	otxx·口{东上}小
𰇏	obmk·口目
𰇐	oqtk·口田
𰇑	nnho·⺆⺆一口
𰇒	ovlz·口亻𠂉乙
𰇓	oiej·口亠巾
𰇔	rotb·夫口匕
𰇕	orvv·口夫丷
𰇖	ohcx·口一{至上}力
𰇗	ofok·口扌口
𰇘	ornd·口贝刂
𰇙	niot·⺆亠口匕
𰇚	orlb·口欠卜
𰇛	ovrq·口亻犬
𰇜	olxv·口气㐅
𰇝	loay·之口又
𰇞	ojnd·口文刂
𰇟	qnxo·丶冂⺌口
𰇠	xoat·力口人匕
